LONCOL,LATCOL,vehicleNum,time,geometry
38,50,2,2007-02-19 07:23:00,"POLYGON ((121.53889594285695 31.289032783087173, 121.54099983466647 31.289032783087173, 121.54099983466647 31.290831425169742, 121.53889594285695 31.290831425169742, 121.53889594285695 31.289032783087173))"
32,46,2,2007-02-19 07:24:00,"POLYGON ((121.52627259199983 31.281838214756895, 121.52837648380935 31.281838214756895, 121.52837648380935 31.283636856839465, 121.52627259199983 31.283636856839465, 121.52627259199983 31.281838214756895))"
32,46,2,2007-02-19 07:25:00,"POLYGON ((121.52627259199983 31.281838214756895, 121.52837648380935 31.281838214756895, 121.52837648380935 31.283636856839465, 121.52627259199983 31.283636856839465, 121.52627259199983 31.281838214756895))"
32,46,2,2007-02-19 07:26:00,"POLYGON ((121.52627259199983 31.281838214756895, 121.52837648380935 31.281838214756895, 121.52837648380935 31.283636856839465, 121.52627259199983 31.283636856839465, 121.52627259199983 31.281838214756895))"
32,46,2,2007-02-19 07:27:00,"POLYGON ((121.52627259199983 31.281838214756895, 121.52837648380935 31.281838214756895, 121.52837648380935 31.283636856839465, 121.52627259199983 31.283636856839465, 121.52627259199983 31.281838214756895))"
32,46,2,2007-02-19 07:28:00,"POLYGON ((121.52627259199983 31.281838214756895, 121.52837648380935 31.281838214756895, 121.52837648380935 31.283636856839465, 121.52627259199983 31.283636856839465, 121.52627259199983 31.281838214756895))"
25,42,1,2007-02-19 07:29:00,"POLYGON ((121.5115453493332 31.274643646426618, 121.51364924114272 31.274643646426618, 121.51364924114272 31.276442288509188, 121.5115453493332 31.276442288509188, 121.5115453493332 31.274643646426618))"
25,42,1,2007-02-19 07:30:00,"POLYGON ((121.5115453493332 31.274643646426618, 121.51364924114272 31.274643646426618, 121.51364924114272 31.276442288509188, 121.5115453493332 31.276442288509188, 121.5115453493332 31.274643646426618))"
22,42,3,2007-02-19 07:31:00,"POLYGON ((121.50523367390464 31.274643646426618, 121.50733756571417 31.274643646426618, 121.50733756571417 31.276442288509188, 121.50523367390464 31.276442288509188, 121.50523367390464 31.274643646426618))"
20,41,3,2007-02-19 07:32:00,"POLYGON ((121.5010258902856 31.27284500434405, 121.50312978209513 31.27284500434405, 121.50312978209513 31.274643646426618, 121.5010258902856 31.274643646426618, 121.5010258902856 31.27284500434405))"
20,41,3,2007-02-19 07:33:00,"POLYGON ((121.5010258902856 31.27284500434405, 121.50312978209513 31.27284500434405, 121.50312978209513 31.274643646426618, 121.5010258902856 31.274643646426618, 121.5010258902856 31.27284500434405))"
20,39,1,2007-02-19 07:34:00,"POLYGON ((121.5010258902856 31.26924772017891, 121.50312978209513 31.26924772017891, 121.50312978209513 31.27104636226148, 121.5010258902856 31.27104636226148, 121.5010258902856 31.26924772017891))"
20,39,1,2007-02-19 07:35:00,"POLYGON ((121.5010258902856 31.26924772017891, 121.50312978209513 31.26924772017891, 121.50312978209513 31.27104636226148, 121.5010258902856 31.27104636226148, 121.5010258902856 31.26924772017891))"
21,36,1,2007-02-19 07:36:00,"POLYGON ((121.50312978209513 31.263851793931206, 121.50523367390464 31.263851793931206, 121.50523367390464 31.265650436013775, 121.50312978209513 31.265650436013775, 121.50312978209513 31.263851793931206))"
20,36,3,2007-02-19 07:37:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
20,36,3,2007-02-19 07:38:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
20,36,3,2007-02-19 07:39:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
20,36,3,2007-02-19 07:40:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
20,36,3,2007-02-19 07:41:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
20,36,3,2007-02-19 07:42:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
20,36,3,2007-02-19 07:43:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
13,31,2,2007-02-19 07:44:00,"POLYGON ((121.48629864761898 31.25485858351836, 121.48840253942849 31.25485858351836, 121.48840253942849 31.25665722560093, 121.48629864761898 31.25665722560093, 121.48629864761898 31.25485858351836))"
13,31,2,2007-02-19 07:45:00,"POLYGON ((121.48629864761898 31.25485858351836, 121.48840253942849 31.25485858351836, 121.48840253942849 31.25665722560093, 121.48629864761898 31.25665722560093, 121.48629864761898 31.25485858351836))"
11,30,2,2007-02-19 07:46:00,"POLYGON ((121.48209086399994 31.25305994143579, 121.48419475580945 31.25305994143579, 121.48419475580945 31.25485858351836, 121.48209086399994 31.25485858351836, 121.48209086399994 31.25305994143579))"
11,30,2,2007-02-19 07:47:00,"POLYGON ((121.48209086399994 31.25305994143579, 121.48419475580945 31.25305994143579, 121.48419475580945 31.25485858351836, 121.48209086399994 31.25485858351836, 121.48209086399994 31.25305994143579))"
7,28,2,2007-02-19 07:48:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,2,2007-02-19 07:49:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,2,2007-02-19 07:50:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,2,2007-02-19 07:51:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,2,2007-02-19 07:52:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,2,2007-02-19 07:53:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,2,2007-02-19 07:54:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,2,2007-02-19 07:55:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,29,1,2007-02-19 07:56:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,1,2007-02-19 07:57:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,1,2007-02-19 07:58:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,1,2007-02-19 07:59:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
8,29,2,2007-02-19 08:00:00,"POLYGON ((121.47577918857138 31.25126129935322, 121.4778830803809 31.25126129935322, 121.4778830803809 31.25305994143579, 121.47577918857138 31.25305994143579, 121.47577918857138 31.25126129935322))"
10,30,2,2007-02-19 08:01:00,"POLYGON ((121.47998697219042 31.25305994143579, 121.48209086399994 31.25305994143579, 121.48209086399994 31.25485858351836, 121.47998697219042 31.25485858351836, 121.47998697219042 31.25305994143579))"
